A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X630739;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΔΙΕΡΕΥΝΗΣΗ-ΠΑΡΑΣΚΕΥΗ   ΒΛΑΒΗΣ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ - ΤΕΛΙΚΟΤΕΛΙΚΗ ΝΕΥΡΟΡΡΑΦΗ ΝΕΥΡΙΚΩΝ ΣΤΕΛΕΧΩΝ
X630741;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΔΙΕΡΕΥΝΗΣΗ-ΠΑΡΑΣΚΕΥΗ   ΒΛΑΒΗΣ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ - ΝΕΥΡΟΡΡΑΦΗ ΜΕ ΠΑΡΕΜΒΟΛΗ ΝΕΥΡΙΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ
X630743;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΔΙΕΡΕΥΝΗΣΗ-ΠΑΡΑΣΚΕΥΗ   ΒΛΑΒΗΣ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ - ΤΕΛΙΚΟΠΛΑΓΙΑ ΝΕΥΡΟΡΡΑΦΗ
X630745;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΑΠΟΘΗΚΕΥΣΗ ΝΕΥΡΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΣΥΝΔΕΔΕΜΕΝΟΥ ΜΕ ΥΠΟΔΟΡΙΟ ΤΟΥΝΕΛ ΜΕ ΑΝΤΙΣΤΟΙΧΗ Α7 ΡΙΖΑ
X630747;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΠΑΡΑΣΚΕΥΗ - ΛΗΨΗ ΣΥΣΤΟΙΧΟΥ ΠΛΑΤΕΟΣ ΡΑΧΙΑΙΟΥ ΓΙΑ ΜΕΤΑΦΟΡΑ ΤΟΥ ΩΣ ΝΗΣΙΔΩΤΟΥ ΚΡΗΜΝΟΥ ΓΙΑ ΚΑΜΨΗ Η ΕΚΤΑΣΗ ΑΓΚΩΝΑ - ΚΑΘΗΛΩΣΗ ΠΛΑΤΕΟΣ ΡΑΧΙΑΙΟΥ ΚΕΝΤΡΙΚΑ ΚΑΙ ΠΕΡΙΦΕΡΙΚΑ ΜΕ ΟΣΤΙΚΕΣ ΑΓΚΥΡΕΣ 
X630759;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΠΑΡΑΣΚΕΥΗ -ΛΗΨΗ ΑΝΤΙΣΤΟΙΧΟΥ ΠΛΑΤΕΟΣ ΡΑΧΙΑΙΟΥ ΓΙΑ ΜΕΤΑΦΟΡΑ ΤΟΥ ΩΣ ΕΛΕΥΘΕΡΟΥ ΚΡΗΜΝΟΥ ΓΙΑ ΚΑΜΨΗ Η ΕΚΤΑΣΗ ΑΓΚΩΝΑ - ΚΑΘΗΛΩΣΗ ΠΛΑΤΕΟΣ ΡΑΧΙΑΙΟΥ ΚΕΝΤΡΙΚΑ ΚΑΙ ΠΕΡΙΦΕΡΙΚΑ ΜΕ ΟΣΤΙΚΕΣ ΑΓΚΥΡΕΣ 
X630769;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΔΙΕΡΕΥΝΗΣΗ  - ΑΝΑΓΝΩΡΙΣΗ - ΠΑΡΑΣΚΕΥΗ ΜΑΣΧΑΛΙΑΙΑΣ ΚΑΙ ΒΡΑΧΙΟΝΙΟΥ ΑΡΤΗΡΙΑΣ ΜΕ ΤΙΣ ΣΥΝΟΔΕΣ ΦΛΕΒΕΣ
X630789;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΑΓΓΕΙΑΚΕΣ ΑΝΑΣΤΟΜΩΣΕΙΣ ΚΑΙ ΝΕΥΡΟΡΡΑΦΗ ΘΩΡΑΚΟΡΑΧΙΑΙΟΥ ΝΕΥΡΟΥ ΜΕ ΑΠΟΘΗΚΕΥΝΕΝΟ ΝΕΥΡΟ
X630799;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΠΑΡΑΣΚΕΥΗ -ΛΗΨΗ ΑΝΤΙΣΤΟΙΧΟΥ ΙΣΧΝΟΥ ΠΡΟΣΑΓΩΓΟΥ ΓΙΑ ΜΕΤΑΦΟΡΑ ΤΟΥ ΩΣ ΕΛΕΥΘΕΡΟΥ ΚΡΗΜΝΟΥ ΓΙΑ ΚΑΜΨΗ Η ΕΚΤΑΣΗ ΔΑΚΤΥΛΩΝ
X630809;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΑΝΑΓΝΩΡΙΣΗ - ΠΑΡΑΣΚΕΥΗ  ΒΡΑΧΙΟΝΙΟΥ ΑΡΤΗΡΙΑΣ ΚΑΙ ΚΛΑΔΩΝ ΤΗΣ ΜΕ ΤΙΣ ΣΥΝΟΔΕΣ ΦΛΕΒΕΣ
X630811;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΑΓΓΕΙΑΚΕΣ ΑΝΑΣΤΟΜΩΣΕΙΣ ΚΑΙ ΝΕΥΡΟΡΡΑΦΗ ΘΥΡΟΕΙΔΟΥΣ ΝΕΥΡΟΥ ΜΕ ΑΠΟΘΗΚΕΥΝΕΝΟ ΝΕΥΡΟ
X630819;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΚΑΘΗΛΩΣΗ ΙΣΧΝΟΥ ΠΡΟΣΑΓΩΓΟΥ ΚΕΝΤΡΙΚΑ ΜΕ ΟΣΤΙΚΕΣ ΑΓΚΥΡΕΣ
X630821;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΠΕΡΙΦΕΡΙΚΗ ΤΕΝΟΝΤΟΡΡΑΦΗ ΙΣΧΝΟΥ ΠΡΟΣΑΓΩΓΟΥ ΜΕ ΕΝ ΤΩ ΒΑΘΕΙ ΚΑΜΠΤΗΡΑ Η ΚΟΙΝΟ ΕΚΤΕΙΝΟΝΤΑ ΔΑΚΤΥΛΟΥΣ
X630839;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΑΡΘΡΟΔΕΣΗ ΚΑΡΠΟΥ
X630841;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΣΤΡΟΦΙΚΗ ΟΣΤΕΟΤΟΜΙΑ ΒΡΑΧΙΟΝΙΟΥ
X630843;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΣΤΡΟΦΙΚΗ ΟΣΤΕΟΤΟΜΙΑ ΚΕΡΚΙΔΟΣ
X630845;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΜΕΤΑΦΟΡΑ ΤΡΑΠΕΖΟΕΙΔΟΥΣ ΓΙΑ ΑΠΑΓΩΓΗ ΩΜΟΥ
X630847;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΜΕΤΑΦΟΡΑ ΚΑΜΠΤΗΡΩΝ ΚΑΡΠΟΥ ΚΕΝΤΡΙΚΑ ΓΙΑ ΚΑΜΨΗ ΑΓΚΩΝΑ ( STEINDLER FLEXORPLASTY)
X630849;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΤΕΝΟΝΤΟΜΕΤΑΦΟΡΑ ΚΑΜΠΤΗΡΩΝ ΚΑΡΠΟΥ ΓΙΑ ΕΚΤΑΣΗ ΔΑΚΤΥΛΩΝ
X630851;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΤΕΝΟΝΤΟΜΕΤΑΦΟΡΑ ΓΙΑ ΕΚΤΑΣΗ ΚΑΡΠΟΥ
X630853;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΤΕΝΟΝΤΟΜΕΤΑΦΟΡΑ ΓΙΑ ΚΑΜΨΗ ΜΕΤΑΚΑΡΠΙΟΦΑΛΛΑΓΓΙΚΩΝ
X630857;ΧΕΙΡΟΥΡΓΙΚΗ ΒΡΑΧΙΟΝΙΟΥ ΠΛΕΓΜΑΤΟΣ: ΤΕΝΟΝΤΟΜΕΤΑΦΟΡΑ ΓΙΑ ΑΠΑΓΩΓΗ ΑΝΤΙΘΕΣΗ ΑΝΤΙΧΕΙΡΑ
X630859;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΟΥ ΥΠΟΠΛΑΤΙΟΥ ΜΥΟΣ ΑΠΟ ΤΗΝ ΩΜΟΠΛΑΤΗ 
X630869;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΟΥ ΥΠΟΠΛΑΤΙΟΥ ΜΥΟΣ ΑΠΟ ΤΗΝ ΚΑΤΑΦΥΣΗ ΤΟΥ 
X630939;"ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΕΠΙΜΗΚΥΝΣΗ ΤΥΠΟΥ ""Ζ "" ΤΟΥ ΜΕΙΖΟΝΑ ΘΩΡΑΚΙΚΟΥ ΑΠΟ ΤΗ ΚΑΤΑΦΥΣΗ ΤΟΥ "
X630941;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΟΥ ΠΛΑΤΕΩΣ ΡΑΧΙΑΙΟΥ ΜΥΟΣ ΑΠΟ ΤΗΝ ΚΑΤΑΦΥΣΗ ΤΟΥ 
X630943;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΟΥ ΜΕΙΖΟΝΑ ΘΩΡΑΚΙΚΟΥ ΜΥΟΣ ΑΠΟ ΤΗΝ ΚΑΤΑΦΥΣΗ ΤΟΥ 
X630959;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΕΠΑΝΑΚΑΘΗΛΩΣΗ ΤΟΥ ΠΛΑΤΕΩΣ ΡΑΧΙΑΙΟΥ ΜΥΟΣ ΣΤΗΝ ΕΞΩ ΠΛΕΥΡΑ ΤΟΥ ΒΡΑΧΙΟΝΙΟΥ 
X630969;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΕΠΑΝΑΚΑΘΗΛΩΣΗ ΤΟΥ ΜΕΙΖΟΝΟΣ ΘΩΡΑΚΙΚΟΥ ΜΥΟΣ ΣΤΗΝ ΕΞΩ ΠΛΕΥΡΑ ΤΟΥ ΒΡΑΧΙΟΝΙΟΥ  
X630989;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΣΤΡΟΦΙΚΗ ΟΣΤΕΟΤΟΜΙΑ ΒΡΑΧΙΟΝΙΟΥ 
X630999;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΕΠΑΝΑΚΑΘΗΛΩΣΗ ΤΟΥ ΚΑΤΑΦΥΤΙΚΟΥ ΤΕΝΟΝΤΑ ΤΟΥ ΔΙΚΕΦΑΛΟΥ ΒΡΑΧΙΟΝΙΟΥ ΜΥΟΣ  ΣΤΟ ΔΙΚΕΦΑΛΙΚΟ ΟΓΚΩΜΑ ΤΗΣ ΚΕΡΚΙΔΟΣ
X631009;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΑΠΕΛΕΥΘΕΡΩΣΗ ΤΗΣ ΚΑΤΑΦΥΣΗΣ ΤΟΥ ΣΤΡΟΓΓΥΛΟΥ ΠΡΗΝΙΣΤΗ 
X631011;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΚΑΜΠΤΗΡΩΝ ΚΑΡΠΟΥ ΚΕΝΤΡΙΚΑ ΓΙΑ ΚΑΜΨΗ ΑΓΚΩΝΑ ( STEINDLER FLEXORPLASTY)
X631019;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΔΙΑΤΟΜΗ ΤΗΣ ΕΚΦΥΣΗ ΤΟΥ ΣΤΡΟΓΓΥΛΟΥ ΠΡΗΝΙΣΤΗ 
X631029;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΔΙΑΤΟΜΗ ΤΗΣ ΕΚΦΥΣΗ ΤΩΝ ΚΑΜΠΤΗΡΩΝ ΤΟΥ ΑΝΤΙΒΡΑΧΙΟΥ  
X631049;"ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΔΙΟΡΘΩΣΗ ΤΗΣ ΠΑΡΑΜΟΡΦΩΣΗΣ ""ΑΝΤΙΧΕΙΡΑΣ ΣΤΗ ΠΑΛΑΜΗ"" "
X631079;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΤΟΥ ΕΠΙΠΟΛΗΣ ΚΑΜΠΤΗΡΑ ΤΩΝ ΔΑΚΤΥΛΩΝ ΣΤΟΝ ΣΤΟΥΣ ΕΝ ΤΩ ΒΑΘΕΙ ΚΑΜΠΤΗΡΕΣ ΤΩΝ ΔΑΚΤΥΛΩΝ 
X631089;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΤΟΥ ΚΕΡΚΙΔΙΚΟΥ ΚΑΜΠΤΗΡΑ ΤΟΥ ΚΑΡΠΟΥ ΣΤΟΥΣ ΕΚΤΕΙΝΟΝΤΕΣ ΤΩΝ ΔΑΚΤΥΛΩΝ
X631107;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΤΟΥ ΣΤΡΟΓΓΥΛΟΥ ΠΡΗΝΙΣΤΗ ΣΤΟΝ ΒΡΑΧΥ ΚΕΡΚΙΔΙΚΟ ΕΚΤΕΙΝΟΝΤΑ ΤΟΝ ΚΑΡΠΟ 
X631109;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΤΟΥ ΩΛΕΝΙΟΥ ΚΑΜΤΗΡΑ ΤΟΝ ΚΑΡΠΟ  ΣΤΟΝ ΒΡΑΧΥ ΚΕΡΚΙΔΙΚΟ ΕΚΤΕΙΝΟΝΤΑ ΤΟΝ ΚΑΡΠΟ  
X631159;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΜΕΤΑΦΟΡΑ ΤΟΥ ΩΛΕΝΙΟΥ ΕΚΤΕΙΝΟΝΤΑ ΤΟΝ ΚΑΡΠΟ ΣΤΟΥΣ ΕΚΤΕΙΝΟΝΤΕΣ ΤΩΝ ΔΑΚΤΥΛΩΝ
X631169;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΒΡΑΧΙΟΝΟΚΕΡΚΙΔΙΚΟΥ 
X631171;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΩΝ  ΕΝ ΤΩ ΒΑΘΕΙ ΚΑΜΤΗΡΩΝ ΤΩΝ ΔΑΚΤΥΛΩΝ 
X631173;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΕΠΙΠΟΛΗΣ ΚΑΜΠΤΗΡΑ ΤΩΝ ΔΑΚΤΥΛΩΝ 
X631175;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΚΕΡΚΙΔΙΚΟΥ ΚΑΜΠΤΗΡΑ ΤΟΥ ΚΑΡΠΟΥ
X631177;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΜΑΚΡΟΥ ΚΑΜΠΤΗΡΑ ΤΟΥ ΑΝΤΙΧΕΙΡΑ 
X631203;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΜΑΚΡΟΥ ΠΑΛΑΜΙΚΟΥ
X631207;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΣΤΡΟΓΓΥΛΟΥ ΠΡΗΝΙΣΤΗ
X631215;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΟΥ ΩΛΕΝΙΟΥ ΚΑΜΠΤΗΡΑ ΤΟΥ ΚΑΡΠΟΥ
X631219;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΤΜΗΜΑΤΙΚΗ ΕΠΙΜΗΚΥΝΣΗ ΣΤΟ ΜΥΟΤΕΝΟΝΤΩΔΕΣ ΟΡΙΟ ΤΩΝ ΚΑΜΠΤΗΡΩΝ ΤΟΥ ΑΝΤΙΒΡΑΧΙΟΥ
X631229;ΣΠΑΣΤΙΚΟ ΑΝΩ ΑΚΡΟ (ΠΧ .ΕΓΚΕΦΑΛΙΚΗ ΠΑΡΑΛΥΣΗ): ΔΙΗΘΗΣΗ ΜΥΟΣ ΜΕ ΑΛΛΑΝΤΙΚΗ ΤΟΞΙΝΗ, ΜΟΝΗΡΗΣ, ΚΑΘΕ ΜΥΣ Ή ΜΥΙΚΗ ΟΜΑΔΑ
X631249;ΒΙΟΨΙΑ ΝΕΥΡΟΥ
X631259;ΑΝΟΙΚΤΗ ΛΗΨΗ ΝΕΥΡΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟ ΑΝΩ ΑΚΡΟ (ΟΠΩΣ Ο ΤΕΛΙΚΟΣ ΑΙΣΘΗΤΙΚΟΣ ΚΛΑΔΟΣ ΤΟΥ ΟΠΙΣΘΙΟΥ ΜΕΣΟΣΤΕΟΥ ΝΕΥΡΟΥ)
X631261;ΑΝΟΙΚΤΗ ΛΗΨΗ ΝΕΥΡΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΑΛΛΟ ΣΗΜΕΙΟ ΤΟΥ ΣΩΜΑΤΟΣ ΕΚΤΟΣ ΤΟΥ ΑΝΩ ΑΚΡΟΥ (ΟΠΩΣ ΓΑΣΤΡΟΚΝΗΜΙΟ ΝΕΥΡΟ)
X631263;ΕΝΔΟΣΚΟΠΙΚΗ ΛΗΨΗ ΝΕΥΡΙΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ
X631279;ΛΗΨΗ ΟΣΤΙΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΑΠΟ ΤΟ ΑΝΩ ΑΚΡΟ
X631299;ΛΗΨΗ ΕΛΕΥΘΕΡΟΥ ΑΓΓΕΙΟΥΜΕΝΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ - ΠΕΡΟΝΗ
X631301;ΛΗΨΗ ΕΛΕΥΘΕΡΟΥ ΑΓΓΕΙΟΥΜΕΝΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ - ΑΛΛΟ ΕΚΤΟΣ ΠΕΡΟΝΗΣ
X631309;ΛΗΨΗ ΤΕΝΟΝΤΙΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΝΩ ΑΚΡΟΥ (ΟΠΩΣ ΤΕΝΟΝΤΑΣ ΤΟΥ ΜΑΚΡΟΥ ΠΑΛΑΜΙΚΟΥ ΜΥΟΣ)
X631311;ΑΝΟΙΚΤΗ  ΛΗΨΗ ΦΛΕΒΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟ ΚΑΤΩ ΑΚΡΟ
X631319;ΕΝΔΟΣΚΟΠΙΚΗ ΛΗΨΗ ΦΛΕΒΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΟ ΚΑΤΩ ΑΚΡΟ
X631329;ΠΥΟΓΕΝΗΣ ΣΗΠΤΙΚΗ ΑΡΘΡΙΤΙΔΑ ΩΜΟΥ -  ΑΡΘΡΟΤΟΜΗ , ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631339;ΟΞΕΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ ΒΡΑΧΙΟΝΙΟΥ  - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631349;ΤΡΑΥΜΑ, ΟΞΕΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ ΒΡΑΧΙΟΝΙΟΥ  - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631559;ΧΡΟΝΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ ΒΡΑΧΙΟΝΙΟΥ  - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ, ΑΦΑΙΡΕΣΗ ΑΠΟΛΥΜΑΤΩΝ
X631569;ΧΡΟΝΙΑ ΟΣΤΕΟΜΥΕΛΙΤΙΔΑ ΒΡΑΧΙΟΝΙΟΥ  - ΔΕΥΤΕΡΟΓΕΝΕΙΣ ΕΠΕΜΒΑΣΕΙΣ  ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΟΣΤΙΚΩΝ ΕΛΛΕΙΜΜΑΤΩΝ
X631579;ΤΡΑΥΜΑ, ΠΥΩΔΗΣ ΣΥΛΛΟΓΗ ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ  - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631599;ΜΕΤΕΓΧΕΙΡΗΤΙΚΗ ΠΥΩΔΗΣ ΣΥΛΛΟΓΗ ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
