          Τμήμα          | Ημερομηνία Βάρδιας | Τύπος Βάρδιας |   Τύπος Προσωπικού   |     Ειδικότητα / Ρόλος      | Αριθμός Προσωπικού 
 Καρδιολογικό            | 2026-05-03         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Καρδιολογικό            | 2026-05-04         | ΠΡΩΙ          | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Καρδιολογικό            | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Καρδιολογικό            | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Καρδιολογικό            | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Καρδιολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Καρδιολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Καρδιολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Καρδιολογικό            | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Καρδιολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Καρδιολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Καρδιολογικό            | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  2
 Καρδιολογικό            | 2026-05-05         | ΠΡΩΙ          | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Καρδιολογικό            | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Καρδιολογικό            | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Καρδιολογικό            | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Καρδιολογικό            | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Καρδιολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Καρδιολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Καρδιολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Καρδιολογικό            | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Καρδιολογικό            | 2026-05-06         | ΠΡΩΙ          | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Καρδιολογικό            | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Καρδιολογικό            | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Καρδιολογικό            | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Καρδιολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Καρδιολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Καρδιολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Καρδιολογικό            | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Καρδιολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Καρδιολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Καρδιολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Καρδιολογικό            | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Καρδιολογικό            | 2026-05-07         | ΠΡΩΙ          | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Καρδιολογικό            | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Καρδιολογικό            | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Καρδιολογικό            | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Καρδιολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Καρδιολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Καρδιολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Καρδιολογικό            | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Ιατρός               | Καρδιολόγος                 |                  3
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Καρδιολογικό            | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Νευρολογικό             | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-01         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Νευρολογικό             | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Νευρολογικό             | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Νευρολογικό             | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-02         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Νευρολογικό             | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Νευρολογικό             | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-02         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  2
 Νευρολογικό             | 2026-05-03         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Νευρολογικό             | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Νευρολογικό             | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-03         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Νευρολογικό             | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-03         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Νευρολογικό             | 2026-05-03         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  2
 Νευρολογικό             | 2026-05-04         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Νευρολογικό             | 2026-05-04         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-04         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Νευρολογικό             | 2026-05-04         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Νευρολογικό             | 2026-05-04         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-04         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Νευρολογικό             | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-04         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-05         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Νευρολογικό             | 2026-05-05         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Νευρολογικό             | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-05         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Νευρολογικό             | 2026-05-05         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  1
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Νευρολογικό             | 2026-05-05         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-06         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Νευρολογικό             | 2026-05-06         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-06         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Νευρολογικό             | 2026-05-06         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Νευρολογικό             | 2026-05-06         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Νευρολογικό             | 2026-05-07         | ΠΡΩΙ          | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Νευρολογικό             | 2026-05-07         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Νευρολογικό             | 2026-05-07         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  2
 Νευρολογικό             | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Νευρολογικό             | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Νευρολογικό             | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Νευρολογικό             | 2026-05-07         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  2
 Νευρολογικό             | 2026-05-07         | ΝΥΧΤΑ         | Ιατρός               | Νευρολόγος                  |                  3
 Νευρολογικό             | 2026-05-07         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Νευρολογικό             | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Νευρολογικό             | 2026-05-07         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Ογκολογικό              | 2026-05-01         | ΠΡΩΙ          | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Ογκολογικό              | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Ογκολογικό              | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Ογκολογικό              | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Ογκολογικό              | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Ογκολογικό              | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  4
 Ογκολογικό              | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Ογκολογικό              | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  2
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Ογκολογικό              | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Ογκολογικό              | 2026-05-02         | ΠΡΩΙ          | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Ογκολογικό              | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Ογκολογικό              | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Ογκολογικό              | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Ογκολογικό              | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Ογκολογικό              | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  1
 Ογκολογικό              | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Ογκολογικό              | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  2
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Ογκολογικό              | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Ογκολογικό              | 2026-05-03         | ΠΡΩΙ          | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Ογκολογικό              | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  3
 Ογκολογικό              | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Λογιστής                    |                  1
 Ογκολογικό              | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Ογκολογικό              | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Ογκολόγος                   |                  3
 Ογκολογικό              | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  3
