K500001;ΜΥΕΛΟΓΡΑΦΙΑ
K512977.41;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΓΟΝΑΤΟΣ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α)
K512977.42;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΓΟΝΑΤΟΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ
K512977.43;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΠΟΔΟΚΝΗΜΙΚΗΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ
K512977.44;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΠΟΔΟΚΝΗΜΙΚΗΣ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α)
K512977.45;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΠΟΔΟΚΝΗΜΙΚΗΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ
K512977.46;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΑΚΡΟΥ ΠΟΔΟΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ
K512977.47;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΑΚΡΟΥ ΠΟΔΟΣ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α)
K512977.48;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΑΚΡΟΥ ΠΟΔΟΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ
K512977.49;ΜΑΓΝΗΤΙΚΗ ΟΥΡΟΓΡΑΦΙΑ (MRU)
K512977.50;ΜΑΓΝΗΤΙΚΗ ΕΝΤΕΡΟΓΡΑΦΙΑ
K512977.51;ΜΑΓΝΗΤΙΚΗ ΚΟΛΟΝΟΓΡΑΦΙΑ
K512977.52;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΚΑΡΔΙΑΣ ΜΕ STRESS
K512977.53;ΜΑΓΝΗΤΙΚΗ ΣΤΕΦΑΝΙΟΓΡΑΦΙΑ
K512979;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΓΝΩΣΤΙΚΗ ΑΚΤΙΝΟΛΟΓΙΚΗ ΔΙΑΔΙΚΑΣΙΑ
K512993;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΕΓΚΕΦΑΛΟΥ ΝΕΟΓΝΩΝ
K513001;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ
K513003;ΑΝΕΝΕΡΓΟΣ
K513005;ΑΝΕΝΕΡΓΟΣ
K513007;ΑΝΕΝΕΡΓΟΣ
K513009;ΑΝΕΝΕΡΓΟΣ
K513013;ΑΝΕΝΕΡΓΟΣ
K513019;ΑΝΕΝΕΡΓΟΣ
K513039;ΑΝΕΝΕΡΓΟΣ
K513053;ΑΝΕΝΕΡΓΟΣ
K513189;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΘΩΡΑΚΟΣ
K513271;ΥΠΕΡΗΧΟΓΡΑΦΙΑ ΜΑΣΤΟΥ 
K513381;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΑΝΩ ΚΟΙΛΙΑΣ (ΗΠΑΤΟΣ, ΧΟΛΗΦΟΡΩΝ, ΠΑΓΚΡΕΑΤΟΣ, ΣΠΛΗΝΟΣ, ΝΕΦΡΩΝ,  ΟΥΡΗΤΗΡΩΝ 
K513391;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΗΠΑΤΟΣ, ΧΟΛΗΦΟΡΩΝ
K513521;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΝΕΦΡΩΝ, ΟΥΡΗΤΗΡΩΝ, ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΕΩΣ
K513531;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΝΕΦΡΩΝ, ΟΥΡΗΤΗΡΩΝ, ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΕΩΣ, ΠΡΟΣΤΑΤΟΥ
K513533;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΕΓΧΡΩΜΟ ΚΑΙ ΠΑΛΜΙΚΟ ΜΕΤΑΜΟΣΧΕΥΜΕΝΟΥ ΝΕΦΡΟΥ
K513581;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΝΩΤΙΑΙΟΥ ΣΩΛΗΝΑ
K513583;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ 1ΟΥ ΤΡΙΜΗΝΟΥ - ΔΙΑΚΟΙΛΙΑΚΟ - ΜΟΝΗΡΗΣ ΚΥΗΣΗ
K513585;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ 1ΟΥ ΤΡΙΜΗΝΟΥ - ΔΙΑΚΟΙΛΙΑΚΟ - ΠΟΛΛΑΠΛΗΣ ΚΥΗΣΗ - ΕΚΑΣΤΗ
K513591;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ 2-3 ΤΡΙΜΗΝΟΥ - ΔΙΑΚΟΙΛΙΑΚΟ - ΜΟΝΗΡΗΣ ΚΥΗΣΗ
K513601;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ 2-3 ΤΡΙΜΗΝΟΥ - ΔΙΑΚΟΙΛΙΑΚΟ - ΠΟΛΛΑΠΛΗΣ ΚΥΗΣΗ
K513603;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ Β-ΕΠΙΠΕΔΟΥ - ΜΟΝΗΡΗΣ ΚΥΗΣΗ
K513605;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ Β-ΕΠΙΠΕΔΟΥ - ΠΟΛΛΑΠΛΗΣ ΚΥΗΣΗΣ
K513607;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ - ΑΥΧΕΝΙΚΗ ΔΙΑΦΑΝΕΙΑ - ΔΙΑΚΟΙΛΙΑΚΟ Η ΕΝΔΟΚΟΛΠΙΚΟ - ΜΟΝΗΡΗΣ ΚΥΗΣΗ
K513609;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ - ΑΥΧΕΝΙΚΗ ΔΙΑΦΑΝΕΙΑ - ΔΙΑΚΟΙΛΙΑΚΟ Η ΕΝΔΟΚΟΛΠΙΚΟ - ΠΟΛΛΑΠΛΗΣ ΚΥΗΣΗΣ
K513611;ΔΕΝ ΙΣΧΥΕΙ - ΕΙΝΑΙ ΚΑΝΟΝΑΣ ΝΑ ΕΞΕΤΑΖΟΝΤΑΙ ΟΙ ΒΑΣΙΚΟΙ ΠΑΡΑΜΕΤΡΟΙ ΜΕ ΚΑΘΕ ΕΛΕΓΧΟ ΤΟΥ ΕΜΒΡΥΪΟΥ
K513613;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ - ΕΠΑΝΕΛΕΓΧΟΣ ΕΝΤΟΣ ΤΟΥ ΙΔΙΟΥ ΤΡΙΜΗΝΟΥ
K513615;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΚΥΗΣΕΩΣ 1ΟΥ ΤΡΙΜΗΝΟΥ ΕΝΔΟΚΟΛΠΙΚΟ - ΜΟΝΗΡΗΣ ΚΥΗΣΗ
K513617;ΕΜΒΡΥΪΚΟ ΒΙΟΦΥΣΙΚΟ ΠΡΟΦΙΛ. ΜΕ ΕΞΕΤΑΣΗ ΜΗ ΚΑΤΑΠΟΝΗΣΗΣ
K513619;ΕΜΒΡΥΪΚΟ ΒΙΟΦΥΣΙΚΟ ΠΡΟΦΙΛ. ΑΝΕΥ ΕΞΕΤΑΣΗΣ ΜΗ ΚΑΤΑΠΟΝΗΣΗΣ
K513621;ΑΝΕΝΕΡΓΟΣ
K513623;ΑΝΕΝΕΡΓΟΣ
K513631;ΕΜΒΡΥΪΚΟ ΗΧΟΚΑΡΔΙΟΓΡΦΗΜΑ, ΚΑΡΔΙΑΓΓΕΙΑΚΟ ΣΥΣΤΗΜΑ, ΠΡΑΓΜΑΤΙΚΟΥ ΧΡΟΝΟΥ, ΜΕ ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΤΕΚΜΗΡΙΩΣΗ (2-ΔΙΑΣΤΑΣΕΩΝ), ΜΕ Ή ΑΝΕΥ M-MODE ΚΑΤΑΓΡΑΦΗ
K513633;ΕΜΒΡΥΪΚΟ ΗΧΟΚΑΡΔΙΟΓΡΑΦΗΜΑ, ΚΑΡΔΙΑΓΓΕΙΑΚΟ ΣΥΣΤΗΜΑ, ΠΡΑΓΜΑΤΙΚΟΥ ΧΡΟΝΟΥ, ΜΕ ΑΠΕΙΚΟΝΙΣΤΙΚΗ ΤΕΚΜΗΡΙΩΣΗ (2-ΔΙΑΣΤΑΣΕΩΝ), ΜΕ Ή ΑΝΕΥ ΚΑΤΑΓΡΑΦΗ M-MODE, ΕΠΑΝΕΞΕΤΑΣΗ, Ή ΕΠΑΝΑΛΗΨΗ ΤΗΣ ΜΕΛΕΤΗΣ
K513635;ΕΜΒΡΥΪΚΟ DOPPLER ΗΧΟΚΑΡΔΙΟΓΡΑΦΗΜΑ, ΕΝΑΛΑΣΣΟΜΕΝΟ ΚΑΙ/Ή ΣΤΑΘΕΡΟ ΚΥΜΑ ΜΕ ΕΜΦΑΝΙΣΗ ΦΑΣΜΑΤΟΣ, ΠΛΗΡΕΣ
K513637;ΕΜΒΡΥΪΚΟ DOPPLER ΗΧΟΚΑΡΔΙΟΓΡΑΦΗΜΑ, ΕΝΑΛΑΣΣΟΜΕΝΟ ΚΑΙ/Ή ΣΤΑΘΕΡΟ ΚΥΜΑ ΜΕ ΕΜΦΑΝΙΣΗ ΦΑΣΜΑΤΟΣ. ΕΠΑΝΕΞΕΤΑΣΗ, Ή ΕΠΑΝΑΛΗΨΗ ΤΗΣ ΜΕΛΕΤΗΣ
K513641;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΔΙΑΚΟΛΠΙΚΟ
K513643;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΥΣΤΕΡΟΣΑΛΠΙΓΓΟΓΡΑΦΙΑ
K513693;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΠΥΕΛΟΥ
K513695;ΑΝΕΝΕΡΓΟΣ
K513721;ΕΓΧΡΩΜΟ ΚΑΙ ΠΑΛΜΙΚΟ ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΟΣΧΕΟΥ
K513725;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΠΡΟΣΤΑΤΟΥ ΔΙΟΡΘΙΚΟ
K513727;ΥΠΕΡΗΧΟΣ, ΔΙΟΡΘΙΚΟΣ. ΜΕΛΕΤΗ ΟΓΚΟΥ ΠΡΟΣΤΑΤΟΥ ΓΙΑ ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΣΧΕΔΙΑΣΜΟΣ ΘΕΡΑΠΕΙΑΣ (ΙΔΙΑΙΤΕΡΗ ΔΙΑΔΙΚΑΣΙΑ)
K513741;ΑΝΕΝΕΡΓΟΣ
K513751;ΑΝΕΝΕΡΓΟΣ
K513753;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΙΣΧΙΩΝ ΝΕΟΓΝΩΝ
K513841;ΠΑΡΑΚΕΝΤΗΣΗ ΠΕΡΙΚΑΡΔΙΟΥ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513845;ΒΙΟΨΙΑ ΕΝΔΟΚΑΡΔΙΟΥ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513853;ΥΠΕΡΗΧΟΓΡΑΦΙΚΑ ΚΑΘΟΔΗΓΟΥΜΕΝΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕ ΣΥΜΠΙΕΣΗ ΑΡΤΗΡΙΑΚΟΥ ΨΕΥΔΟΑΝΕΥΡΥΣΜΑΤΟΣ, Ή ΑΡΤΗΡΙΟΦΛΕΒΙΚΩΝ ΣΥΡΙΓΓΙΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΥΠΕΡΗΧΟΓΡΑΦΙΚΗΣ ΑΞΙΟΛΟΓΗΣΗΣ, ΣΥΜΠΙΕΣΗΣ ΤΗΣ ΒΛΑΒΗΣ ΚΑΙ ΑΠΕΙΚΟΝΙΣΗΣ)
K513855;ΕΓΧΡΩΜΟ ΚΑΙ ΠΑΛΜΙΚΟ ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΑΡΤΗΡΙΩΝ-ΦΛΕΒΩΝ ΑΝΩ ΑΚΡΟΥ ΓΙΑ ΠΡΟΣΒΑΣΗ ΜΟΣΧΕΥΜΑΤΟΣ ΑΙΜΟΚΑΘΑΡΣΗΣ ΕΤΕΡΟΠΛΕΥΡΟ
K513861;ΜΑΙΕΥΤΙΚΗ ΕΞΕΤΑΣΗ
K513863;ΜΑΙΕΥΤΙΚΗ ΕΞΕΤΑΣΗ
K513865;ΠΑΡΑΚΕΝΤΗΣΗ ΔΙΑ ΛΕΠΤΗΣ ΒΕΛΟΝΗΣ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513871;ΔΕΙΓΜΑΤΟΛΗΨΙΑ ΧΟΡΙΑΚΗΣ ΛΑΧΝΗΣ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513873;ΑΜΝΙΟΠΑΡΑΚΕΝΤΗΣΗ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513877;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΑΝΑΡΡΟΦΗΣΗ ΩΑΡΙΩΝ, ΕΠΙΒΛΕΨΗ ΑΠΕΙΚΟΝΙΣΗΣ ΚΑΙ ΕΡΜΗΝΕΙΑ
K513881;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΤΗΝ ΤΟΠΟΘΕΤΗΣΗ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ
K513911;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΤΗΝ ΕΝΔΟΪΣΤΙΚΗ ΕΦΑΡΜΟΓΗ ΡΑΔΙΕΝΕΡΓΟΥ ΥΛΙΚΟΥ Ή ΚΑΘΕΤΗΡΑ
K513921;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΜΕΛΕΤΗ ΕΠΑΝΕΞΕΤΑΣΗΣ (ΑΝΑΦΕΡΑΤΕ ΛΕΠΤΟΜΕΡΩΣ)
K513931;ΕΝΔΟΣΚΟΠΙΚΟ ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΓΑΣΤΡΕΝΤΕΡΙΚΟΥ ΣΩΛΗΝΑ
K513935;ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΜΕΤΡΗΣΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ ΚΑΙ ΕΡΜΗΝΕΙΑ, ΠΕΡΙΦΕΡΙΚΕΣ ΘΕΣΕΙΣ, ΟΠΟΙΑΔΗΠΟΤΕ ΜΕΘΟΔΟΣ
K513977;ΔΙΕΓΧΕΙΡΗΤΙΚΟ ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ
K513979;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΥΠΕΡΗΧΟΓΡΑΦΙΚΗ ΔΙΑΔΙΚΑΣΙΑ (ΠΧ, ΔΙΑΓΝΩΣΤΙΚΗ, ΠΑΡΕΜΒΑΤΙΚΗ)
K513979.1;ΒΙΟΨΙΑ ΕΠΙΦΑΝΕΙΑΚΟΥ ΟΡΓΑΝΟΥ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513979.2;ΒΙΟΨΙΑ ΟΡΓΑΝΟΥ ΚΟΙΛΙΑΣ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K513979.3;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΑΝΩ-ΚΑΤΩ ΚΟΙΛΙΑΣ ΑΝΔΡΩΝ (ΗΠΑΤΟΣ, ΧΟΛΗΦΟΡΩΝ, ΠΑΓΚΡΕΑΤΟΣ, ΣΠΛΗΝΟΣ, ΝΕΦΡΩΝ, ΟΥΡΗΤΗΡΩΝ, ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΕΩΣ, ΠΡΟΣΤΑΤΟΥ)
K513979.4;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΑΝΩ-ΚΑΤΩ ΚΟΙΛΙΑΣ ΓΥΝΑΙΚΩΝ (ΗΠΑΤΟΣ, ΧΟΛΗΦΟΡΩΝ, ΠΑΓΚΡΕΑΤΟΣ, ΣΠΛΗΝΟΣ, ΝΕΦΡΩΝ, ΟΥΡΗΤΗΡΩΝ, ΟΥΡΟΔΟΧΟΥ ΚΥΣΤΕΩΣ, ΜΗΤΡΑΣ, ΩΟΘΗΚΩΝ)
K513979.5;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΜΕ ΕΝΔΟΦΛΕΒΙΑ ΕΓΧΥΣΗ ΜΙΚΡΟΦΥΣΑΛΛΙΔΩΝ
K513979.6;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΠΑΧΕΟΣ ΕΝΤΕΡΟΥ ΔΙΟΡΘΙΚΟ
K513979.7;ΕΓΧΡΩΜΟ ΚΑΙ ΠΑΛΜΙΚΟ ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΑΡΤΗΡΙΩΝ-ΦΛΕΒΩΝ ΑΝΩ ΑΚΡΟΥ ΓΙΑ ΠΡΟΣΒΑΣΗ ΜΟΣΧΕΥΜΑΤΟΣ ΑΙΜΟΚΑΘΑΡΣΗΣ ΑΜΦΟΤΕΡΟΠΛΕΥΡΟ
K513983;ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΤΗΝ ΤΟΠΟΘΕΤΗΣΗ ΣΥΣΚΕΥΗΣ ΠΡΟΣΒΑΣΗΣ ΚΕΝΤΡΙΚΗΣ ΦΛΕΒΑΣ, ΑΝΤΙΚΑΤΑΣΤΑΣΗ (ΚΑΘΕΤΗΡΑ ΜΟΝΟΝ, Ή ΠΛΗΡΗΣ), Ή ΑΦΑΙΡΕΣΗ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΑΓΓΕΙΑΚΗ ΠΡΟΣΒΑΣΗ ΑΙΜΟΚΑΘΑΡΣΗΣ ΚΑΙ ΧΕΙΡΙΣΜΟΣ ΚΑΘΕΤΗΡΑ,  ΚΑΘΕ ΑΠΑΡΑΙΤΗΤΗ ΕΝΕΣΗ ΣΚΙΑΓΡΑΦΙΚΟΥ ΔΙΑ ΜΕΣΟΥ ΘΕΣΗΣ ΠΡΟΣΒΑΣΗΣ, Ή ΚΑΘΕΤΗΡΑ ΜΕ ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΣΧΕΤΙΚΗΣ ΑΓΓΕΙΟΓΑΦΙΑΣ ΚΑΙ ΕΡΜΗΝΕΙΑ, ΚΑΙ ΑΚΤΙΝΟΛΟΓΙΚΗ ΤΕΚΜΗΡΙΩΣΗ ΤΕΛΙΚΗΣ ΘΕΣΗΣ ΚΑΘΕΤΗΡΑ) (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
K513985;ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΓΙΑ ΤΗΝ ΤΟΠΟΘΕΤΗΣΗ ΒΕΛΟΝΗΣ (ΠΧ, ΒΙΟΨΙΑ, ΑΝΑΡΡΟΦΗΣΗ, ΕΓΧΥΣΗ, ΣΥΣΚΕΥΗ ΕΝΤΟΠΙΣΗΣ)
K513987;ΑΚΤΙΝΟΣΚΟΠΙΚΗ ΚΑΘΟΔΗΓΗΣΗ ΚΑΙ ΕΝΤΟΠΙΣΗ ΚΟΡΥΦΗΣ ΒΕΛΟΝΗΣ, Ή ΚΑΘΕΤΗΡΑ ΓΙΑ ΣΠΟΝΔΥΛΙΚΟ, Ή ΠΑΡΑΣΠΟΝΔΥΛΙΟ ΔΙΑΓΝΩΣΤΙΚΟ, Ή ΘΕΡΑΠΕΥΤΙΚΟ ΠΡΩΤΟΚΟΛΛΟ ΕΓΧΥΣΗΣ (ΕΠΙΣΚΛΗΡΙΔΙΟΣ, ΔΙΑΤΡΗΜΑΤΙΚΗ ΕΠΙΣΚΛΗΡΙΔΙΟΣ, ΥΠΑΡΑΧΝΟΕΙΔΗΣ, ΠΑΡΑΣΠΟΝΔΥΛΙΟΣ ΑΠΟΦΥΣΙΑΚΩΝ ΑΡΘΡΩΣΕΩΝ ΠΑΡΑΣΠΟΝΔΥΛΙΟ ΝΕΥΡΟ ΑΠΟΦΥΣΙΑΚΗΣ ΑΡΘΡΩΣΗΣ, Ή ΙΕΡΟΛΑΓΟΝΙΟΣ ΑΡΘΡΩΣΗ), ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΚΑΤΑΣΤΡΟΦΗΣ ΜΕ ΝΕΥΡΟΛΥΤΙΚΟΥ ΠΑΡΑΓΟΝΤΑ
K514003;ΑΝΕΝΕΡΓΟΣ
K514005;ΚΑΘΟΔΗΓΗΣΗ ΑΞΟΝΙΚΗΣ ΤΟΜΟΓΡΑΦΙΑΣ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΒΕΛΟΝΗΣ ΚΑΙ ΛΗΨΗ ΒΙΟΨΙΑΣ (Π.Χ. ΠΑΘΗΣΕΙΣ ΠΑΡΕΓΧΥΜΑΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΟΣΤΩΝ ΚΑΙ ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ), ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ
K514007;ΚΑΘΟΔΗΓΗΣΗ ΥΠΟΛΟΓΙΣΤΙΚΗΣ ΤΟΜΟΓΡΑΦΙΑΣ ΓΙΑ, ΚΑΙ ΚΑΤΑΓΡΑΦΗ ΑΦΑΙΡΕΣΗΣ ΠΑΡΕΓΧΥΜΑΤΙΚΟΥ ΙΣΤΟΥ
K514009;ΥΠΟΛΟΓΙΣΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΣΧΕΔΙΑΣΜΟΥ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ
K514023;ΚΑΘΟΔΗΓΗΣΗ ΜΑΓΝΗΤΙΚΗΣ ΤΟΜΟΓΡΑΦΙΑΣ ΓΙΑ ΤΟΠΟΘΕΤΗΣΗ ΒΕΛΟΝΗΣ ΚΑΙ ΛΗΨΗ ΒΙΟΨΙΑΣ (Π.Χ. ΠΑΘΗΣΕΙΣ ΠΑΡΕΓΧΥΜΑΤΙΚΩΝ ΟΡΓΑΝΩΝ, ΟΣΤΩΝ ΚΑΙ ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ), ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΠΙΒΛΕΨΗ ΚΑΙ ΕΡΜΗΝΕΙΑ
K514025;ΚΑΘΟΔΗΓΗΣΗ ΜΑΓΝΗΤΙΚΗΣ ΤΟΜΟΓΡΑΦΙΑΣ ΓΙΑ, ΚΑΙ ΑΠΕΙΚΟΝΙΣΗ ΑΦΑΙΡΕΣΗΣ ΠΑΡΕΓΧΥΜΑΤΙΚΟΥ ΙΣΤΟΥ
K514043;ΣΤΕΡΕΟΚΤΑΤΙΚΗ ΜΑΣΤΟΓΡΑΦΙΚΑ ΚΑΘΟΔΗΓΟΥΜΕΝΗ ΤΟΠΟΘΕΤΗΣΗ ΟΔΗΓΟΥ ΣΥΡΜΑΤΟΣ (HOOK)
K514045; ΣΤΕΡΕΟΚΤΑΤΙΚΗ ΥΠΕΡΗΧΟΓΡΑΦΙΚΑ ΚΑΘΟΔΗΓΟΥΜΕΝΗ ΤΟΠΟΘΕΤΗΣΗ ΟΔΗΓΟΥ ΣΥΡΜΑΤΟΣ (HOOK)
K514083;ΥΠΟΛΟΓΙΣΤΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΙΧΝΕΥΣΗ (ΑΛΓΟΡΙΘΜΙΚΗ ΑΝΑΛΥΣΗ ΔΕΔΟΜΕΝΩΝ ΨΗΦΙΑΚΗΣ ΕΙΚΟΝΑΣ ΣΕ ΥΠΟΛΟΓΙΣΤΗ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΒΛΑΒΗΣ) ΜΕ ΕΠΙΠΛΕΟΝ ΕΠΙΣΚΟΠΗΣΗ ΑΠΟ ΙΑΤΡΟ ΓΙΑ ΕΡΜΗΝΕΙΑ, ΜΕ, Ή ΑΝΕΥ ΨΗΦΙΟΠΟΙΗΣΗΣ ΦΙΛΜ ΑΚΤΙΝΟΛΟΓΙΚΩΝ ΑΠΕΙΚΟΝΙΣΕΩΝ. ΔΙΑΓΝΩΣΤΙΚΗ ΜΑΣΤΟΓΡΑΦΙΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ, ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
